Arabinose(%)	pBN20	pBX40	pBX50	pBX15A	pBX51A	pBX54	pBN1	pBN2	pBN25	pBN24	pBN26	pBN36	pBX45	pBX46	pBX53
0	162.88208	20.52696	37.73278	62.21262	28.10111	44.49875	151.12223	76.66697	50.75595	59.96766	133.76218	49.98106	55.71252	47.23708	82.48622
1E-07	162.0519	26.75126	27.5486	64.21254	35.46976	59.96979	141.6991	84.09069	80.78809	67.10401	151.90639	50.13425	124.039	130.77317	71.07672
5E-07	173.24708	29.28977	38.44053	61.29068	54.63939	40.53151	223.85397	89.37176	180.22358	53.76448	128.14471	52.80466	71.72366	81.52259	64.969
1E-06	203.92282	35.97804	27.59665	75.67258	45.71895	52.90181	155.85853	84.06544	225.14312	62.27168	133.46967	67.12665	80.1911	80.29473	54.83677
5E-06	473.94734	37.69814	48.49419	169.4401	88.23608	108.45484	393.67944	88.84123	130.13493	94.33218	143.40111	133.97836	152.83115	244.98491	89.97184
1E-05	701.063	39.85515	49.68515	262.29078	138.85662	168.07222	552.95445	81.61705	241.7366	103.0732	155.42234	194.89569	175.41386	335.16101	93.71977
5E-05	1137.07468	43.57357	101.15892	773.97418	421.62657	652.6179	1635.55004	88.20716	302.90117	219.99878	200.45295	593.68596	387.60812	961.56568	206.74027
0.0001	1358.22542	47.30593	138.22118	1110.8566	627.9232	943.89207	2092.95685	99.30244	518.05599	334.21697	244.266	940.99672	495.26122	1364.75421	277.88144
0.0005	1535.86205	45.78136	252.92268	1650.06058	1189.83882	1682.80525	3611.18165	105.44391	993.36753	606.63862	415.15162	1595.13253	704.83324	2353.36885	431.68053
0.001	1270.22251	52.93366	261.98293	1624.42993	1117.30943	1636.17672	3907.30251	115.1501	2340.82524	629.74338	776.89792	2013.6208	710.95	2889.46606	456.46847
0.1	1390.87133	54.99372	471.93568	2506.60553	2028.42142	1534.48435	4104.92151	124.77489	2790.09278	542.09648	741.33253	2013.86768	829.41342	2755.60059	434.33379
0.2	1415.19365	66.07911	356.26264	2434.09023	2020.28052	1814.80498	3393.58899	130.33027	3305.57267	570.23704	884.01412	1964.20259	869.38911	2601.09273	446.35459
