Components	Components	10ng/ml(aTc)	0.1%ara+10ng/ml(aTc)	100ng/mL(aTc)
pBN1	pT1	629.574809132787	104.74840395596	9365.43944729626
pBX46	pT1	794.815231796909	267.08275523308	11997.0459063043
pBX40	pT1	1885.74275156933	903.386508447958	12769.5862004291
pBX45	pT1	735.485545955051	252.606338416059	10832.982021019
pBX54	pTNC27	991.23391775474	417.290792086888	12247.9399342942
pBX46	pTNC27	663.255697596694	415.512568121928	10090.9336492411
pBX45	pTNC29	871.438118071221	284.865530974989	7976.09852759296
pBN24	pTNC29	429.647778671829	471.459028372325	5122.50803244865
pBX46	pTNC29	623.365445423776	222.946218402913	10234.073792907
pBX54	pTNC29	809.452158916768	229.319190672154	10661.3373550106
pBX45	pTNC36	488.904421721034	507.487699692081	3855.98741146298
pBX46	pTNC36	677.509258458025	432.76492881921	4177.81508666533
pBX53	pTNC57	813.119257888988	558.140472081455	3646.18941710595
pBX46	pTNC57	1652.420070249	203.893956825425	4326.39535120227
pBX54	pTNC57	2907.40387108245	399.312951788836	5000.49427212134
pBX45	pTNC58	1374.50180400866	290.594023722636	2944.60941696605
pBX53	pTNC58	566.951155722126	459.708184714184	2666.67540898693
pBN24	pTNC58	616.349188976618	371.281630707726	3010.60766449667
pBX46	pTNC58	2029.58084711358	316.950666931601	3295.69206347269
pBX54	pTNC58	2125.72010339026	263.318846443098	15033.1889742897
pBX50	pTNC65	409.612776988861	187.787346365703	6378.35170994085
pBX45	pTNC65	282.631697641614	53.9273990907839	5729.18154943295
pBX46	pTNC65	532.053180019853	53.4919362643176	6067.55400789307
pBX46	pTNC94	448.47540960565	173.606179498539	5413.42301273869
pBN24	pTNC94	332.572614357662	293.887429548771	4297.84317924824
pBX45	pTNC94	491.561996561273	163.301058000993	5073.44525445382
