aTc	pT2	pT3	pT4	pT6	pT7	pT5	pT8	pTNC4	pTNC53	pTNC57	pTNC58	pTNC10	pT1	pTNC29	pTNC27	pTNC36	pTNC65	pTNC94
0	172.85133	181.18467	186.18467	210.83052	46.49668	337.16795	147.19157	343.08372	220.42249	211.19166	250.94022	2376.87995	593.79796	105.38028	395.13717	131.10877	124.75407	160.61553
1	208.5799	213.32468	198.86093	202.75336	53.07216	332.14553	135.47377	372.58473	293.83291	336.01238	293.82836	2887.77191	805.5766	204.38372	406.29859	113.89606	133.95941	138.97154
5	215.24714	214.88712	194.72462	202.9173	43.7001	663.78277	129.51352	385.36666	313.13412	459.77591	390.05048	3797.15084	1019.22465	254.54631	451.48246	106.94296	171.90368	115.22358
7.5	281.71438	275.79392	260.76755	278.35108	45.03117	2239.00375	134.8083	428.44216	373.52402	1290.19409	564.25794	4678.6325	1388.14269	316.80392	472.15627	120.449	206.23023	167.40039
10	391.59805	613.93147	345.57192	372.95339	65.46174	5622.6035	166.77022	490.08965	610.48659	3374.91774	1527.96256	5574.86191	1683.43852	907.99578	650.36221	609.82295	517.18298	537.61121
15	316.27024	981.69661	944.11427	900.10315	79.4177	9639.90712	145.18726	826.19485	1054.18619	5128.66454	2836.58888	6730.22941	4477.27141	2706.75928	1130.327	1613.05024	2767.70903	1555.79248
20	954.86526	1838.99293	1436.23072	1513.69714	135.34834	15553.17907	153.06042	1368.27139	2682.34061	5637.42245	2972.26233	10021.59314	6209.24718	5412.87705	2940.82582	2508.61933	4542.82781	2450.08145
30	985.45261	3870.40328	4742.25486	1828.33248	1115.77377	15322.73334	349.22053	6373.93547	4669.11656	6238.68299	3409.87205	14266.4437	10627.22392	6597.96753	6878.63001	2650.87239	7660.67248	4253.92992
40	1062.21409	11646.43676	6801.24808	2169.44371	1771.37632	17458.22153	369.43327	11477.06257	6138.57959	5853.1927	3653.39002	14602.55756	13905.7016	11014.3443	10153.33111	5338.04215	7845.34652	6170.78214
50	1070.17296	11407.40179	6122.76127	2218.36311	2149.21443	16714.77643	359.3269	12390.32379	7223.91171	6376.92249	3817.25636	13837.7869	14152.15512	14032.04183	13276.14781	6029.05106	8081.30691	7241.06653
100	1034.38158	11743.44204	6179.31724	2612.6649	2316.35078	17738.76683	366.04027	11971.35541	6606.13548	6248.12276	4017.87862	14195.61708	14270.78983	13124.55688	14046.76187	5818.62516	8094.63665	7189.00354
